group1	group2	corr_value
transE.High_S47_L005	transE.High_S47_L005	1
transE.Low_S45_L005	transE.High_S47_L005	0.8500746347596703
transE.Medium_S46_L005	transE.High_S47_L005	0.8788278809288806
transE.Pre_S48_L005	transE.High_S47_L005	0.9055765227540278
transE.High_S47_L005	transE.Low_S45_L005	0.8500746347596703
transE.Low_S45_L005	transE.Low_S45_L005	1
transE.Medium_S46_L005	transE.Low_S45_L005	0.8808082255176518
transE.Pre_S48_L005	transE.Low_S45_L005	0.9100443451837286
transE.High_S47_L005	transE.Medium_S46_L005	0.8788278809288806
transE.Low_S45_L005	transE.Medium_S46_L005	0.8808082255176518
transE.Medium_S46_L005	transE.Medium_S46_L005	1
transE.Pre_S48_L005	transE.Medium_S46_L005	0.9126810099099637
transE.High_S47_L005	transE.Pre_S48_L005	0.9055765227540278
transE.Low_S45_L005	transE.Pre_S48_L005	0.9100443451837286
transE.Medium_S46_L005	transE.Pre_S48_L005	0.9126810099099637
transE.Pre_S48_L005	transE.Pre_S48_L005	1
